pid;size;color;brand;rrp;mainCategory;category;subCategory;stock;releaseDate
10000;XL;gruen;Nike;25.33;1;7;25;1;2017-10-01
10001;L;schwarz;Jako;38.03;1;7;16;1;2017-10-01
10003;M;weiss;Jako;12.63;1;7;13;1;2017-10-01
10003;L;weiss;Jako;12.63;1;7;13;1;2017-10-01
10003;XL;weiss;Jako;12.63;1;7;13;1;2017-10-01
10006;XL;blau;Under Armour;57.08;15;24;14;1;2017-10-01
10008;XL;blau;PUMA;25.33;1;7;8;12;2017-10-01
10013;L;schwarz;adidas;69.78;1;7;16;1;2017-10-27
10013;M;schwarz;adidas;69.78;1;7;16;1;2017-10-27
10013;S;schwarz;adidas;69.78;1;7;16;1;2017-10-27
10015;L;blau;PUMA;25.33;1;7;8;5;2017-10-01
10015;S;blau;PUMA;25.33;1;7;8;1;2017-10-01
10017;L;blau;Under Armour;69.78;15;33;22;1;2017-10-01
10020;XL;rot;Nike;50.73;9;10;14;1;2017-10-01
10025;M;gruen;Uhlsport;50.73;1;7;31;1;2017-10-01
10030;M;gruen;New Balance;107.88;9;10;35;1;2017-10-01
10031;M;blau;Converse;88.83;9;18;32;2;2017-10-01
10031;M;blau;Converse;88.83;9;18;32;1;2017-10-01
10031;M;blau;Converse;88.83;9;18;32;3;2017-10-01
10035;L;rot;Nike;63.43;1;7;22;1;2017-10-01
10035;XL;rot;Nike;63.43;1;7;22;3;2017-10-01
10035;XS;rot;Nike;63.43;1;7;22;1;2017-10-01
10039;L;schwarz;Asics;126.93;9;18;32;1;2017-10-01
10042;M;blau;Nike;88.83;1;37;6;2;2017-11-10
10043;L;weiss;adidas;38.03;1;7;8;1;2017-10-01
10043;XL;weiss;adidas;38.03;1;7;8;1;2017-10-01
10046;L;orange;Nike;82.48;1;7;21;5;2017-10-01
10046;M;orange;Nike;82.48;1;7;21;2;2017-10-01
10046;S;orange;Nike;82.48;1;7;21;1;2017-10-01
10048;M;schwarz;Mizuno;406.33;1;2;3;1;2017-10-01
10050;M;schwarz;PUMA;50.73;1;7;16;1;2018-01-10
10051;M;weiss;Nike;25.33;1;7;21;1;2017-10-01
10051;XL;weiss;Nike;25.33;1;7;21;2;2017-10-01
10057;XXL;rot;PUMA;22.22;1;7;25;1;2017-10-01
10061;L;schwarz;adidas;63.43;9;10;35;1;2017-10-01
10062;L;gruen;adidas;88.83;1;7;28;1;2017-10-01
10062;M;gruen;adidas;88.83;1;7;28;1;2017-10-01
10062;XL;gruen;adidas;88.83;1;7;28;1;2017-10-01
10063;L;blau;adidas;18.98;1;7;8;3;2017-10-01
10063;M;blau;adidas;18.98;1;7;8;5;2017-10-01
10063;XL;blau;adidas;18.98;1;7;8;1;2017-10-01
10064;S;rot;adidas;165.03;1;2;3;1;2017-10-01
10064;S;rot;adidas;165.03;1;2;3;1;2017-10-01
10064;M;rot;adidas;165.03;1;2;3;1;2017-10-01
10064;M;rot;adidas;165.03;1;2;3;3;2017-10-01
10064;M;rot;adidas;165.03;1;2;3;1;2017-10-01
10064;XL;rot;adidas;165.03;1;2;3;1;2017-10-01
10064;XXL;rot;adidas;165.03;1;2;3;1;2017-10-01
10065;S;blau;adidas;8.82;1;7;12;16;2017-10-01
10065;L;blau;adidas;8.82;1;7;12;31;2017-10-01
10069;XS;schwarz;adidas;76.13;1;37;3;1;2017-10-01
10069;XS;schwarz;adidas;76.13;1;37;3;1;2017-10-01
10069;S;schwarz;adidas;76.13;1;37;3;1;2017-10-01
10069;XS;schwarz;adidas;76.13;1;37;3;3;2017-10-01
10069;M;schwarz;adidas;76.13;1;37;3;1;2017-10-01
10070;L;schwarz;Nike;152.33;1;2;3;1;2017-10-01
10073;L;schwarz;Nike;38.03;1;7;16;7;2017-10-01
10073;XL;schwarz;Nike;38.03;1;7;16;6;2017-10-01
10077;M;gelb;Nike;63.43;1;37;3;1;2017-10-01
10082;L;weiss;adidas;50.73;9;10;14;1;2017-10-01
10083;S;khaki;Nike;38.03;9;10;25;2;2017-10-01
10084;L;schwarz;Jako;38.03;1;7;16;1;2017-10-01
10084;M;schwarz;Jako;38.03;1;7;16;2;2017-10-01
10084;S;schwarz;Jako;38.03;1;7;16;1;2017-10-01
10085;S;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10085;M;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10085;M;schwarz;Nike;114.23;1;2;6;2;2017-10-01
10085;L;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10093;L;gruen;Nike;31.68;1;7;21;1;2017-10-01
10094;L;weiss;Nike;177.73;9;18;32;1;2017-10-01
10096;L;rot;adidas;50.73;1;7;25;8;2017-10-01
10096;M;rot;adidas;50.73;1;7;25;7;2017-10-01
10096;XL;rot;adidas;50.73;1;7;25;2;2017-10-01
10098;M;weiss;Nike;101.53;9;37;32;1;2017-10-01
10098;XS;weiss;Nike;101.53;9;37;32;1;2017-10-01
10098;L;weiss;Nike;101.53;9;37;32;4;2017-10-01
10102;XXL;blau;Nike;38.03;1;7;8;2;2017-10-01
10102;XL;blau;Nike;38.03;1;7;8;3;2017-10-01
10103;L;weiss;adidas;44.38;9;10;25;1;2017-10-01
10104;XL;blau;Erima;44.38;1;7;22;1;2017-10-01
10105;L;schwarz;Nike;76.13;9;10;14;1;2017-10-01
10108;M;schwarz;Nike;177.73;9;18;32;1;2017-10-01
10108;L;schwarz;Nike;177.73;9;18;32;1;2017-10-01
10111;XL;blau;Nike;57.08;1;7;20;4;2017-10-01
10115;M;weiss;adidas;126.93;9;18;32;2;2017-11-22
10115;M;weiss;adidas;126.93;9;18;32;1;2017-11-22
10116;L;gruen;Nike;101.53;9;10;35;1;2017-10-01
10116;M;gruen;Nike;101.53;9;10;35;2;2017-10-01
10116;XL;gruen;Nike;101.53;9;10;35;1;2017-10-01
10119;S;schwarz;adidas;114.23;1;2;6;1;2017-10-01
10119;S;schwarz;adidas;114.23;1;2;6;1;2017-10-01
10119;S;schwarz;adidas;114.23;1;2;6;1;2017-10-01
10119;S;schwarz;adidas;114.23;1;2;6;3;2017-10-01
10119;M;schwarz;adidas;114.23;1;2;6;1;2017-10-01
10119;M;schwarz;adidas;114.23;1;2;6;2;2017-10-01
10119;L;schwarz;adidas;114.23;1;2;6;3;2017-10-01
10119;L;schwarz;adidas;114.23;1;2;6;1;2017-10-01
10119;XL;schwarz;adidas;114.23;1;2;6;2;2017-10-01
10125;L;blau;Nike;25.33;1;7;21;1;2017-10-01
10125;M;blau;Nike;25.33;1;7;21;3;2017-10-01
10125;S;blau;Nike;25.33;1;7;21;5;2017-10-01
10125;XL;blau;Nike;25.33;1;7;21;1;2017-10-01
10126;S;weiss;Nike;177.73;9;18;32;1;2017-10-01
10126;M;weiss;Nike;177.73;9;18;32;1;2017-10-01
10126;M;weiss;Nike;177.73;9;18;32;1;2017-10-01
10126;M;weiss;Nike;177.73;9;18;32;1;2017-10-01
10131;L;blau;adidas;63.43;1;7;31;1;2017-10-01
10131;XL;blau;adidas;63.43;1;7;31;1;2017-10-01
10133;M;blau;Nike;279.33;1;2;3;2;2017-10-01
10133;M;blau;Nike;279.33;1;2;3;1;2017-10-01
10133;L;blau;Nike;279.33;1;2;3;1;2017-10-01
10134;XS;blau;Nike;69.78;1;37;39;1;2017-11-15
10135;L;schwarz;Nike;95.18;9;10;35;1;2017-10-01
10137;M;schwarz;adidas;76.13;1;37;6;2;2017-10-01
10137;XS;schwarz;adidas;76.13;1;37;6;1;2017-10-01
10141;XL;blau;Nike;50.73;1;7;14;1;2017-11-21
10144;M;weiss;Jordan;139.63;9;18;32;1;2017-10-01
10144;M;weiss;Jordan;139.63;9;18;32;1;2017-10-01
