"pid"|"old_size"|"new_size"
10000|"XL ( 158-170 )"|"XL"
10001|"L"|"L"
10003|"3 (35-38 )"|"M"
10003|"4 ( 39-42 )"|"L"
10003|"5 ( 43-46 )"|"XL"
10006|"XL"|"XL"
10008|"XL"|"XL"
10013|"L"|"L"
10013|"M"|"M"
10013|"S"|"S"
10015|"L"|"L"
10015|"S"|"S"
10017|"L"|"L"
10020|"XL"|"XL"
10025|"140"|"M"
10030|"M"|"M"
10031|"43"|"M"
10031|"44"|"M"
10031|"45"|"M"
10035|"L ( 152-158 )"|"L"
10035|"XL ( 158-170 )"|"XL"
10035|"XS ( 116-128 )"|"XS"
10039|"46"|"L"
10042|"37,5"|"M"
10043|"L"|"L"
10043|"XL"|"XL"
10046|"L"|"L"
10046|"M"|"M"
10046|"S"|"S"
10048|"42"|"M"
10050|"M"|"M"
10051|"M ( 140-152 )"|"M"
10051|"XL ( 158-170 )"|"XL"
10057|"176"|"XXL"
10061|"L"|"L"
10062|"L"|"L"
10062|"M"|"M"
10062|"XL"|"XL"
10063|"L"|"L"
10063|"M"|"M"
10063|"XL"|"XL"
10064|"39 1/3"|"S"
10064|"41 1/3"|"S"
10064|"42"|"M"
10064|"44"|"M"
10064|"44 2/3"|"M"
10064|"46 2/3"|"XL"
10064|"48"|"XXL"
10065|"2 ( 37-39 )"|"S"
10065|"4 ( 43-45 )"|"L"
10069|"33"|"XS"
10069|"34"|"XS"
10069|"35"|"S"
10069|"36"|"XS"
10069|"37 1/3"|"M"
10070|"45,5"|"L"
10073|"L ( 40/42 )"|"L"
10073|"XL ( 44/46 )"|"XL"
10077|"36,5"|"M"
10082|"L"|"L"
10083|"S"|"S"
10084|"L"|"L"
10084|"M"|"M"
10084|"S"|"S"
10085|"41"|"S"
10085|"42"|"M"
10085|"44"|"M"
10085|"45,5"|"L"
10093|"L ( 152-158 )"|"L"
10094|"45,5"|"L"
10096|"L"|"L"
10096|"M"|"M"
10096|"XL"|"XL"
10098|"37,5"|"M"
10098|"38"|"XS"
10098|"39"|"L"
10102|"2XL"|"XXL"
10102|"XL"|"XL"
10103|"L"|"L"
10104|"7 ( L )"|"XL"
10105|"L ( 40/42 )"|"L"
10108|"43"|"M"
10108|"45,5"|"L"
10111|"XL"|"XL"
10115|"43 1/3"|"M"
10115|"44"|"M"
10116|"L"|"L"
10116|"M"|"M"
10116|"XL"|"XL"
10119|"39 1/3"|"S"
10119|"40"|"S"
10119|"40 2/3"|"S"
10119|"41 1/3"|"S"
10119|"44"|"M"
10119|"44 2/3"|"M"
10119|"45 1/3"|"L"
10119|"46"|"L"
10119|"46 2/3"|"XL"
10125|"L"|"L"
10125|"M"|"M"
10125|"S"|"S"
10125|"XL"|"XL"
10126|"40,5"|"S"
10126|"42"|"M"
10126|"44"|"M"
10126|"44,5"|"M"
10131|"152"|"L"
10131|"164"|"XL"
10133|"44"|"M"
10133|"44,5"|"M"
10133|"45,5"|"L"
10134|"33"|"XS"
10135|"L ( 40/42 )"|"L"
10137|"37 1/3"|"M"
10137|"38"|"XS"
10141|"XL ( 44/46 )"|"XL"
10144|"43"|"M"
10144|"44"|"M"
10146|"M"|"M"
10153|"L"|"L"
10154|"S"|"S"
10157|"L"|"L"
10157|"M"|"M"
10158|"L"|"L"
10158|"M"|"M"
10158|"XL"|"XL"
10160|"M"|"M"
10164|"L ( 152-158 )"|"L"
10164|"M ( 140-152 )"|"M"
10164|"S ( 128-140 )"|"S"
10164|"XL ( 158-170 )"|"XL"
10164|"XS ( 116-128 )"|"XS"
10165|"36"|"XS"
10167|"M"|"M"
10167|"S"|"S"
10168|"152"|"L"
10169|"2 ( 37-39 )"|"S"
10169|"3 ( 40-42 )"|"M"
10169|"4 ( 43-45 )"|"L"
10169|"5 ( 46-48 )"|"XL"
10170|"L ( 42-46 )"|"L"
10170|"M ( 38-42 )"|"M"
10170|"S ( 34-38 )"|"S"
10170|"XL (46-50 )"|"XL"
10170|"XS ( 30-34 )"|"XS"
10171|"36 2/3"|"M"
10174|"L"|"L"
10174|"M"|"M"
10174|"XL"|"XL"
10176|"38,5"|"M"
10177|"M"|"M"
10177|"XL"|"XL"
10183|"L ( 42-46 )"|"L"
10183|"M ( 38-42 )"|"M"
10186|"36 2/3"|"M"
10186|"38"|"XS"
10186|"38 2/3"|"L"
10194|"38/40 ( M / L )"|"M"
10195|"L"|"L"
10195|"M"|"M"
10195|"XL"|"XL"
10197|"L ( 42-46 )"|"L"
10197|"M ( 38-42 )"|"M"
10197|"S ( 34-38 )"|"S"
10197|"XL (46-50 )"|"XL"
10199|"41 1/3"|"S"
10199|"42"|"M"
10199|"42 2/3"|"M"
10203|"L ( 40/42 )"|"L"
10203|"M ( 38/40 )"|"M"
10205|"164"|"XL"
10207|"L"|"L"
10207|"M"|"M"
10207|"S"|"S"
10208|"33"|"XS"
10208|"33,5"|"XS"
10208|"34"|"XS"
10208|"36"|"XS"
10208|"36,5"|"M"
10208|"37,5"|"M"
10210|"40"|"S"
10210|"44,5"|"M"
10213|"43"|"M"
10213|"44,5"|"M"
10213|"45"|"M"
10214|"40"|"S"
10214|"44"|"M"
10214|"44 2/3"|"M"
10219|"XL"|"XL"
10222|"2XL"|"XXL"
10222|"L"|"L"
10222|"M"|"M"
10222|"S"|"S"
10222|"XL"|"XL"
10224|"42 2/3"|"M"
10227|"44 2/3"|"M"
10228|"L"|"L"
10228|"M"|"M"
10228|"XL"|"XL"
10230|"2 ( 35-38 )"|"S"
10230|"3 ( 39-42 )"|"M"
10230|"4 ( 43-46 )"|"L"
10230|"5 ( 47-49 )"|"XL"
10232|"42,5"|"M"
10233|"L"|"L"
10234|"140"|"M"
10234|"152"|"L"
10234|"164"|"XL"
10244|"164/176"|"XL"
10249|"L"|"L"
10254|"M"|"M"
10258|"L"|"L"
10258|"M"|"M"
10261|"1 ( Junior)"|"M"
10262|"35,5"|"S"
10263|"L"|"L"
10263|"M"|"M"
10263|"S"|"S"
10263|"XL"|"XL"
10275|"40,5"|"S"
10275|"42"|"M"
10275|"43"|"M"
10275|"44"|"M"
10275|"44,5"|"M"
10275|"45,5"|"L"
10276|"L ( 42-46 )"|"L"
10276|"S ( 34-38 )"|"S"
10277|"45,5"|"L"
10279|"3 (35-38 )"|"M"
10279|"4 ( 39-42 )"|"L"
10279|"5 ( 43-46 )"|"XL"
10282|"40 2/3"|"S"
10282|"42"|"M"
10282|"43 1/3"|"M"
10282|"44"|"M"
10283|"XL ( 158-170 )"|"XL"
10285|"XL ( 158-170 )"|"XL"
10289|"42 2/3"|"M"
10289|"43 1/3"|"M"
10289|"44"|"M"
10289|"45 1/3"|"L"
10289|"46"|"L"
10290|"L"|"L"
10290|"M"|"M"
10290|"S"|"S"
10290|"XL"|"XL"
10291|"152"|"L"
10297|"L"|"L"
10297|"M"|"M"
10305|"L"|"L"
10306|"L ( 42-46 )"|"L"
10306|"M ( 38-42 )"|"M"
10306|"S ( 34-38 )"|"S"
10306|"XL (46-50 )"|"XL"
10309|"2XL"|"XXL"
10310|"128"|"S"
10312|"39 1/3"|"S"
10312|"40"|"S"
10312|"40 2/3"|"S"
10312|"41 1/3"|"S"
10312|"42"|"M"
10312|"42 2/3"|"M"
10312|"43 1/3"|"M"
10312|"44"|"M"
10312|"44 2/3"|"M"
10312|"45 1/3"|"L"
10312|"46"|"L"
10312|"46 2/3"|"XL"
10319|"38"|"XS"
10319|"39"|"M"
10319|"40"|"S"
10320|"39/42"|"M"
10320|"43/46"|"L"
10322|"47"|"XL"
10325|"128"|"S"
10325|"140"|"M"
10325|"152"|"L"
10325|"164"|"XL"
10330|"164"|"XL"
10331|"L ( 152-158 )"|"L"
10331|"XL ( 158-170 )"|"XL"
10332|"39"|"S"
10333|"L ( 42-46 )"|"L"
10333|"M ( 38-42 )"|"M"
10333|"S ( 34-38 )"|"S"
10333|"XL (46-50 )"|"XL"
10333|"XS ( 30-34 )"|"XS"
10337|"2XL"|"XXL"
10337|"L"|"L"
10337|"M"|"M"
10337|"XL"|"XL"
10339|"40"|"S"
10339|"40 2/3"|"S"
10339|"41 1/3"|"S"
10339|"42"|"M"
10339|"44"|"M"
10339|"44 2/3"|"M"
10339|"45 1/3"|"L"
10340|"L"|"L"
10343|"L"|"L"
10343|"M"|"M"
10343|"S"|"S"
10344|"42"|"M"
10345|"42 2/3"|"M"
10345|"45 1/3"|"L"
10346|"L"|"L"
10351|"41"|"L"
10353|"42 2/3"|"M"
10353|"44"|"M"
10353|"44 2/3"|"M"
10353|"45 1/3"|"L"
10353|"46"|"L"
10353|"47 1/3"|"XXL"
10361|"2XL"|"XXL"
10361|"L"|"L"
10361|"M"|"M"
10361|"S"|"S"
10361|"XL"|"XL"
10362|"S"|"S"
10363|"XL (46-48,5)"|"XL"
10365|"2XL"|"XXL"
10365|"L"|"L"
10365|"M"|"M"
10365|"S"|"S"
10365|"XS"|"XS"
10368|"5 ( 43-46 )"|"XL"
10369|"40"|"S"
10378|"2XL"|"XXL"
10378|"L"|"L"
10378|"M"|"M"
10378|"S"|"S"
10378|"XL"|"XL"
10380|"42,5"|"M"
10382|"L"|"L"
10382|"M"|"M"
10383|"2 ( Senior )"|"L"
10391|"140"|"M"
10393|"42,5"|"M"
10396|"2XL"|"XXL"
10396|"L"|"L"
10396|"M"|"M"
10396|"S"|"S"
10396|"XL"|"XL"
10400|""|"M"
10402|"2XL"|"XXL"
10402|"L"|"L"
10402|"M"|"M"
10402|"S"|"S"
10402|"XL"|"XL"
10402|"XS"|"XS"
10405|"116"|"XS"
10405|"128"|"S"
10405|"140"|"M"
10405|"152"|"L"
10405|"164"|"XL"
10407|"30"|"XS"
10407|"32"|"XS"
10407|"33"|"XS"
10407|"35"|"S"
10407|"36 2/3"|"M"
10407|"37 1/3"|"M"
10407|"38 2/3"|"L"
10408|"34"|"XS"
10408|"36"|"XS"
10408|"37 1/3"|"M"
10408|"38"|"XS"
10408|"38 2/3"|"L"
10410|"4 ( 39-42 )"|"L"
10410|"5 ( 43-46 )"|"XL"
10413|"L"|"L"
10413|"M"|"M"
10413|"XL"|"XL"
10414|"2XL"|"XXL"
10414|"3XL"|"XXL"
10414|"L"|"L"
10414|"M"|"M"
10414|"S"|"S"
10414|"XL"|"XL"
10414|"XS"|"XS"
10415|"2XL"|"XXL"
10415|"L"|"L"
10415|"M"|"M"
10415|"XL"|"XL"
10416|"39 1/3"|"S"
10416|"40"|"S"
10416|"40 2/3"|"S"
10416|"41 1/3"|"S"
10416|"42"|"M"
10416|"42 2/3"|"M"
10416|"43 1/3"|"M"
10416|"44"|"M"
10416|"44 2/3"|"M"
10416|"45 1/3"|"L"
10416|"46"|"L"
10416|"46 2/3"|"XL"
10416|"47 1/3"|"XXL"
10416|"48"|"XXL"
10418|"41 - 44"|"L"
10421|"40,5"|"S"
10421|"41"|"S"
10421|"42"|"M"
10421|"42,5"|"M"
